SLCBY,20130907/0330,8.00,40.77,-111.96,1286.00,74.66,2.61,304.00,0.00,-9999.00,-9999.00,52.49,46.00,-9999.00,-9999.00
SLCBY,20130907/0331,8.00,40.77,-111.96,1286.00,74.66,2.61,296.00,0.00,-9999.00,-9999.00,53.08,47.00,-9999.00,-9999.00
SLCNW,20130907/0313,8.00,40.82,-112.00,1304.00,-9999.00,1.90,292.70,2.09,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
SLCNW,20130907/0314,8.00,40.82,-112.00,1304.00,-9999.00,1.23,299.00,1.64,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
SLCNW,20130907/0315,8.00,40.82,-112.00,1304.00,-9999.00,0.65,314.70,0.99,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
SLCNW,20130907/0316,8.00,40.82,-112.00,1304.00,-9999.00,0.56,1.03,0.88,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
SLCNW,20130907/0317,8.00,40.82,-112.00,1304.00,-9999.00,0.28,32.42,0.65,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
SLCNW,20130907/0318,8.00,40.82,-112.00,1304.00,-9999.00,0.69,40.08,0.95,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
SLCNW,20130907/0319,8.00,40.82,-112.00,1304.00,-9999.00,0.19,26.61,0.57,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
SLCNW,20130907/0320,8.00,40.82,-112.00,1304.00,-9999.00,0.88,40.19,1.60,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
SLCNW,20130907/0321,8.00,40.82,-112.00,1304.00,-9999.00,1.92,74.30,2.09,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
SLCNW,20130907/0322,8.00,40.82,-112.00,1304.00,-9999.00,1.53,51.66,1.83,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
SLCNW,20130907/0323,8.00,40.82,-112.00,1304.00,-9999.00,0.74,38.24,1.26,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
SLCNW,20130907/0324,8.00,40.82,-112.00,1304.00,-9999.00,1.41,121.70,2.13,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
SLCNW,20130907/0325,8.00,40.82,-112.00,1304.00,-9999.00,1.50,106.50,2.09,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
SLCNW,20130907/0326,8.00,40.82,-112.00,1304.00,-9999.00,0.55,121.90,0.76,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
SLCNW,20130907/0327,8.00,40.82,-112.00,1304.00,-9999.00,0.14,158.20,0.23,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
SLCNW,20130907/0328,8.00,40.82,-112.00,1304.00,-9999.00,1.05,260.10,1.45,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
SLCNW,20130907/0329,8.00,40.82,-112.00,1304.00,-9999.00,1.49,291.10,1.83,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
SLCNW,20130907/0330,8.00,40.82,-112.00,1304.00,-9999.00,1.06,296.20,1.79,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
SLCNW,20130907/0331,8.00,40.82,-112.00,1304.00,-9999.00,1.34,268.80,1.64,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
SLCNW,20130907/0332,8.00,40.82,-112.00,1304.00,-9999.00,1.74,258.90,1.87,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
SNFEC,20130908/0315,8.00,41.36,-111.90,1737.00,62.51,1.32,283.21,5.37,-9999.00,-9999.00,56.13,79.66,-9999.00,-9999.00
SNI,20130907/0250,8.00,41.20,-111.86,2256.00,63.30,6.20,219.60,11.22,-9999.00,-9999.00,51.75,66.01,-9999.00,-9999.00
SNI,20130907/0255,8.00,41.20,-111.86,2256.00,62.82,4.22,245.30,10.15,-9999.00,-9999.00,52.25,68.39,-9999.00,-9999.00
SNI,20130907/0300,8.00,41.20,-111.86,2256.00,62.64,5.52,235.00,9.25,-9999.00,-9999.00,51.99,68.16,-9999.00,-9999.00
SNI,20130907/0305,8.00,41.20,-111.86,2256.00,62.22,6.02,231.80,10.31,-9999.00,-9999.00,52.04,69.30,-9999.00,-9999.00
SNI,20130907/0310,8.00,41.20,-111.86,2256.00,62.10,4.61,269.90,8.38,-9999.00,-9999.00,52.17,69.93,-9999.00,-9999.00
